,name,type,thc_level,most_common_terpene,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohns_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinsons,tourettes_syndrome,alzheimers,hiv/aids,tinnitus
11,Sherbert,Hybrid,18.0,Caryophyllene,59.0,50.0,43.0,37.0,0.0,18.0,9.0,3.0,3.0,3.0,28.0,19.0,22.0,21.0,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,Granddaddy Purple,Indica,17.0,Myrcene,56.0,44.0,42.0,0.0,46.0,28.0,16.0,6.0,4.0,0.0,36.0,31.0,20.0,29.0,28.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Mimosa,Hybrid,19.0,Myrcene,38.0,51.0,0.0,50.0,0.0,11.0,8.0,2.0,2.0,3.0,17.0,9.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Do-Si-Dos,Indica,21.0,Limonene,65.0,40.0,41.0,27.0,31.0,15.0,9.0,5.0,2.0,1.0,23.0,17.0,15.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Jack Herer,Sativa,17.0,Terpinolene,0.0,54.0,46.0,50.0,0.0,25.0,15.0,6.0,6.0,4.0,34.0,20.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,White Widow,Hybrid,16.0,Myrcene,42.0,57.0,53.0,49.0,0.0,34.0,19.0,9.0,8.0,4.0,36.0,26.0,25.0,27.0,13.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Pineapple Express,Hybrid,18.0,Caryophyllene,37.0,60.0,44.0,47.0,0.0,25.0,13.0,5.0,5.0,4.0,29.0,15.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,GMO Cookies,Indica,26.0,Limonene,70.0,46.0,48.0,34.0,27.0,15.0,4.0,4.0,2.0,3.0,17.0,18.0,14.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,Green Crack,Sativa,17.0,Myrcene,0.0,54.0,43.0,53.0,0.0,27.0,16.0,6.0,8.0,6.0,34.0,18.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,17.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,Bubba Kush,Indica,17.0,Caryophyllene,61.0,48.0,44.0,0.0,49.0,35.0,19.0,8.0,6.0,0.0,35.0,32.0,20.0,26.0,29.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
